Model;Decoration;K;Llk;AIC;BIC
WAG;+G+I+F;124;-31905,63219;64059,26438;64641,69662
LG;+G+I+F;124;-31925,36958;64098,73916;64681,17140
WAG;+G+F;123;-31943,98818;64133,97636;64711,71157
WAG;+G+I;105;-32001,99301;64213,98602;64707,17461
LG;+G+I;105;-32011,25756;64232,51512;64725,70371
VT;+G+I+F;124;-31992,39990;64232,79980;64815,23204
WAG;+G;104;-32041,43959;64290,87918;64779,37074
LG;+G;104;-32056,04874;64320,09748;64808,58904
VT;+G+I;105;-32068,82062;64347,64124;64840,82983
Blosum62;+G+I+F;124;-32067,24421;64382,48842;64964,92066
RtREV;+G+I+F;124;-32069,84705;64387,69410;64970,12634
JTT;+G+I+F;124;-32169,43456;64586,86912;65169,30136
CpREV;+G+I+F;124;-32183,55324;64615,10648;65197,53872
DCMut;+G+I+F;124;-32195,78801;64639,57602;65222,00826
Dayhoff;+G+I+F;124;-32197,35645;64642,71290;65225,14514
JTT;+G+I;105;-32292,19838;64794,39676;65287,58535
Flu;+G+I+F;124;-32297,11317;64842,22634;65424,65858
MtZoa;+G+I+F;124;-32394,55339;65037,10678;65619,53902
MtREV;+G+I+F;124;-32448,26811;65144,53622;65726,96846
MtArt;+G+I+F;124;-32741,35629;65730,71258;66313,14482
AB;+G+I+F;124;-32767,48798;65782,97596;66365,40820
HIVb;+G+I+F;124;-32803,08490;65854,16980;66436,60204
MtMam;+G+I+F;124;-33033,24099;66314,48198;66896,91422
HIVw;+G+I+F;124;-33431,04407;67110,08814;67692,52038
