Model;Decoration;K;Llk;AIC;BIC
WAG;+G+I+F;50;-8519,56491;17139,12982;17352,96199
WAG;+G+F;49;-8526,63271;17151,26542;17360,82095
LG;+G+I+F;50;-8527,28581;17154,57162;17368,40379
VT;+G+I+F;50;-8548,80050;17197,60100;17411,43317
JTT;+G+I+F;50;-8550,95150;17201,90300;17415,73517
LG;+G+I;31;-8577,80603;17217,61206;17350,18800
WAG;+G+I;31;-8578,26064;17218,52128;17351,09722
LG;+G;30;-8584,72687;17229,45374;17357,75304
WAG;+G;30;-8585,39928;17230,79856;17359,09786
Flu;+G+I+F;50;-8566,55700;17233,11400;17446,94617
CpREV;+G+I+F;50;-8572,16420;17244,32840;17458,16057
VT;+G+I;31;-8599,72461;17261,44922;17394,02516
RtREV;+G+I+F;50;-8582,31979;17264,63958;17478,47175
Dayhoff;+G+I+F;50;-8582,80594;17265,61188;17479,44405
DCMut;+G+I+F;50;-8583,07466;17266,14932;17479,98149
Blosum62;+G+I+F;50;-8586,09369;17272,18738;17486,01955
JTT;+G+I;31;-8620,23140;17302,46280;17435,03874
MtZoa;+G+I+F;50;-8616,17043;17332,34086;17546,17303
MtREV;+G+I+F;50;-8635,59442;17371,18884;17585,02101
HIVb;+G+I+F;50;-8676,81856;17453,63712;17667,46929
AB;+G+I+F;50;-8693,02376;17486,04752;17699,87969
MtArt;+G+I+F;50;-8725,06329;17550,12658;17763,95875
MtMam;+G+I+F;50;-8753,99052;17607,98104;17821,81321
HIVw;+G+I+F;50;-8787,51987;17675,03974;17888,87191
